Codigo Departamento,Nombre Departamento,Codigo Municipio,Nombre Municipio,Key
05,ANTIOQUIA,001,MEDELLIN,co-an
05,ANTIOQUIA,002,ABEJORRAL,co-an
05,ANTIOQUIA,004,ABRIAQUI,co-an
05,ANTIOQUIA,021,ALEJANDRIA,co-an
05,ANTIOQUIA,030,AMAGA,co-an
05,ANTIOQUIA,031,AMALFI,co-an
05,ANTIOQUIA,034,ANDES,co-an
05,ANTIOQUIA,036,ANGELOPOLIS,co-an
05,ANTIOQUIA,038,ANGOSTURA,co-an
05,ANTIOQUIA,040,ANORI,co-an
05,ANTIOQUIA,042,SANTAFE DE ANTIOQUIA,co-an
05,ANTIOQUIA,044,ANZA,co-an
05,ANTIOQUIA,045,APARTADO,co-an
05,ANTIOQUIA,051,ARBOLETES,co-an
05,ANTIOQUIA,055,ARGELIA,co-an
05,ANTIOQUIA,059,ARMENIA,co-an
05,ANTIOQUIA,079,BARBOSA,co-an
05,ANTIOQUIA,086,BELMIRA,co-an
05,ANTIOQUIA,088,BELLO,co-an
05,ANTIOQUIA,091,BETANIA,co-an
05,ANTIOQUIA,093,BETULIA,co-an
05,ANTIOQUIA,101,CIUDAD BOLIVAR,co-an
05,ANTIOQUIA,107,BRICEÑO,co-an
05,ANTIOQUIA,113,BURITICA,co-an
05,ANTIOQUIA,120,CACERES,co-an
05,ANTIOQUIA,125,CAICEDO,co-an
05,ANTIOQUIA,129,CALDAS,co-an
05,ANTIOQUIA,134,CAMPAMENTO,co-an
05,ANTIOQUIA,138,CAÑASGORDAS,co-an
05,ANTIOQUIA,142,CARACOLI,co-an
05,ANTIOQUIA,145,CARAMANTA,co-an
05,ANTIOQUIA,147,CAREPA,co-an
05,ANTIOQUIA,148,EL CARMEN DE VIBORAL,co-an
05,ANTIOQUIA,150,CAROLINA,co-an
05,ANTIOQUIA,154,CAUCASIA,co-an
05,ANTIOQUIA,172,CHIGORODO,co-an
05,ANTIOQUIA,190,CISNEROS,co-an
05,ANTIOQUIA,197,COCORNA,co-an
05,ANTIOQUIA,206,CONCEPCION,co-an
05,ANTIOQUIA,209,CONCORDIA,co-an
05,ANTIOQUIA,212,COPACABANA,co-an
05,ANTIOQUIA,234,DABEIBA,co-an
05,ANTIOQUIA,237,DON MATIAS,co-an
05,ANTIOQUIA,240,EBEJICO,co-an
05,ANTIOQUIA,250,EL BAGRE,co-an
05,ANTIOQUIA,264,ENTRERRIOS,co-an
05,ANTIOQUIA,266,ENVIGADO,co-an
05,ANTIOQUIA,282,FREDONIA,co-an
05,ANTIOQUIA,284,FRONTINO,co-an
05,ANTIOQUIA,306,GIRALDO,co-an
05,ANTIOQUIA,308,GIRARDOTA,co-an
05,ANTIOQUIA,310,GOMEZ PLATA,co-an
05,ANTIOQUIA,313,GRANADA,co-an
05,ANTIOQUIA,315,GUADALUPE,co-an
05,ANTIOQUIA,318,GUARNE,co-an
05,ANTIOQUIA,321,GUATAPE,co-an
05,ANTIOQUIA,347,HELICONIA,co-an
05,ANTIOQUIA,353,HISPANIA,co-an
05,ANTIOQUIA,360,ITAGÜI,co-an
05,ANTIOQUIA,360,ITAGUI,co-an
05,ANTIOQUIA,361,ITUANGO,co-an
05,ANTIOQUIA,364,JARDIN,co-an
05,ANTIOQUIA,368,JERICO,co-an
05,ANTIOQUIA,376,LA CEJA,co-an
05,ANTIOQUIA,380,LA ESTRELLA,co-an
05,ANTIOQUIA,390,LA PINTADA,co-an
05,ANTIOQUIA,400,LA UNION,co-an
05,ANTIOQUIA,411,LIBORINA,co-an
05,ANTIOQUIA,425,MACEO,co-an
05,ANTIOQUIA,440,MARINILLA,co-an
05,ANTIOQUIA,467,MONTEBELLO,co-an
05,ANTIOQUIA,475,MURINDO,co-an
05,ANTIOQUIA,480,MUTATA,co-an
05,ANTIOQUIA,483,NARIÑO,co-an
05,ANTIOQUIA,490,NECOCLI,co-an
05,ANTIOQUIA,495,NECHI,co-an
05,ANTIOQUIA,501,OLAYA,co-an
05,ANTIOQUIA,541,PEÐOL,co-an
05,ANTIOQUIA,543,PEQUE,co-an
05,ANTIOQUIA,576,PUEBLORRICO,co-an
05,ANTIOQUIA,579,PUERTO BERRIO,co-an
05,ANTIOQUIA,585,PUERTO NARE,co-an
05,ANTIOQUIA,591,PUERTO TRIUNFO,co-an
05,ANTIOQUIA,604,REMEDIOS,co-an
05,ANTIOQUIA,607,RETIRO,co-an
05,ANTIOQUIA,615,RIONEGRO,co-an
05,ANTIOQUIA,628,SABANALARGA,co-an
05,ANTIOQUIA,631,SABANETA,co-an
05,ANTIOQUIA,642,SALGAR,co-an
05,ANTIOQUIA,647,SAN ANDRES ISLAS,co-an
05,ANTIOQUIA,649,SAN CARLOS,co-an
05,ANTIOQUIA,652,SAN FRANCISCO,co-an
05,ANTIOQUIA,656,SAN JERONIMO,co-an
05,ANTIOQUIA,658,SAN JOSE DE LA MONTAÑA,co-an
05,ANTIOQUIA,659,SAN JUAN DE URABA,co-an
05,ANTIOQUIA,660,SAN LUIS,co-an
05,ANTIOQUIA,664,SAN PEDRO,co-an
05,ANTIOQUIA,665,SAN PEDRO DE URABA,co-an
05,ANTIOQUIA,667,SAN RAFAEL,co-an
05,ANTIOQUIA,670,SAN ROQUE,co-an
05,ANTIOQUIA,674,SAN VICENTE,co-an
05,ANTIOQUIA,679,SANTA BARBARA,co-an
05,ANTIOQUIA,686,SANTA ROSA DE OSOS,co-an
05,ANTIOQUIA,690,SANTO DOMINGO,co-an
05,ANTIOQUIA,697,EL SANTUARIO,co-an
05,ANTIOQUIA,736,SEGOVIA,co-an
05,ANTIOQUIA,756,SONSON,co-an
05,ANTIOQUIA,761,SOPETRAN,co-an
05,ANTIOQUIA,789,TAMESIS,co-an
05,ANTIOQUIA,790,TARAZA,co-an
05,ANTIOQUIA,792,TARSO,co-an
05,ANTIOQUIA,809,TITIRIBI,co-an
05,ANTIOQUIA,819,TOLEDO,co-an
05,ANTIOQUIA,837,TURBO,co-an
05,ANTIOQUIA,842,URAMITA,co-an
05,ANTIOQUIA,847,URRAO,co-an
05,ANTIOQUIA,854,VALDIVIA,co-an
05,ANTIOQUIA,856,VALPARAISO,co-an
05,ANTIOQUIA,858,VEGACHI,co-an
05,ANTIOQUIA,861,VENECIA,co-an
05,ANTIOQUIA,873,VIGIA DEL FUERTE,co-an
